sentimen,topic_id,rating,text,dom_prob
positif,2,4,aplikasi ya buka daftar mohon bantu,0.42306017875671387
positif,1,5,masuk aplikasi mental ya tolong bantu biar mudah,0.785244345664978
positif,1,5,min ya aplikasi siga mobile masuk login gagal jaring katanyasolusinya min,0.8923962712287903
positif,3,5,splikasine kyok ndemin suka,0.5706911087036133
positif,1,5,teman mental aplikasi coba unduh website ya siga bkkbn go id ya teman scroll cari tulis siga mobile download aplikasi situ install tutorial ya youtube,0.8770708441734314
positif,4,4,siga mobile update baru gagal masukjadi buka aplikasi nyamohon baik cepat,0.48859357833862305
positif,2,4,format data fasilitas bantu sosial pilih pilih terang data penuh syarat terima bansos pilih terima sdngkan data terima solusi,0.8283624053001404
positif,0,4,klik email gagal,0.5712969899177551
positif,6,4,tolong baik aplikasi dlualx buka apk langsunv kembli buka ulangjga samamohon bantu vervalterimkasih,0.5109131336212158
positif,3,5,mohon aplikasi ya ngedata verval mental mohon kerjasamanya data damping selesai aplikasi ya buka,0.37246230244636536
positif,3,5,login data entri mohon bantu solusi,0.7852595448493958
positif,2,5,sip keren mah eror melulu makan gaji buta eeeeuuungg tahan kader kerja bodoh,0.7140396237373352
positif,2,5,ayo baik siksa kader error bug gj,0.7140466570854187
positif,1,5,tekan aplikasi siga mobile pental masuk,0.7140411138534546
positif,3,5,butuh dukung kerja isi tugas,0.2858007848262787
positif,6,5,moga jaring ganggu,0.5352866053581238
positif,2,5,aplikasi bantu encari data perkk desa,0.7139412760734558
positif,4,5,aplikasi keren membntu keren terimakasih,0.5709797739982605
positif,6,5,buka siga mobile hp mohon buka,0.7854028940200806
positif,6,4,aplikasi susah buka kali ganti versi,0.5981959700584412
positif,6,5,caraya buka siga verval,0.7850812673568726
positif,2,4,aplikasi terdonlod buka eror,0.423092246055603
positif,3,5,bantu data tpk,0.7852632403373718
positif,0,5,sayapernah marketing usaha gerak bidang otomotive kafe kota bogor kerja pegang jabat ketua rw lingkung tinggal,0.1428571492433548
positif,2,4,bantu data online damping keluarga,0.7139269113540649
positif,6,4,mesti upgred ulang dukung handphone,0.5355343222618103
positif,5,5,tim tok kerja verval,0.5710040330886841
positif,4,5,bantu download aplikasi elsimil,0.3203349709510803
positif,3,5,update jalan lancarbegitu selesai update masuk langsung mohon bantu admin ya lakukantkssalam sehat,0.3982713222503662
positif,5,5,gagal masuk aplikasi versi baru moga mudah data cepat praktis,0.5674867033958435
positif,5,5,tolong baik pas simpan gagal pas aplikasi masuk masuk lagialasannya aplikasi jaring kartu ganti,0.8770405650138855
positif,1,5,apl sulit masuk tolong perhati,0.7140775918960571
positif,6,4,aplikasi bagus knapa ya hp buka,0.38687244057655334
positif,5,5,mudah proses data,0.7139750719070435
positif,1,5,tolong bantu masuk log apk siga mobile versi hp data verval cepat selesai,0.497097373008728
positif,6,4,ganti nama update susah masuk,0.8280140161514282
positif,2,5,aplikasi bantu data balik hamil catin,0.4718441069126129
positif,1,4,aplikasi bagus masuk email sandi,0.3874504566192627
positif,6,5,menginstal ulang buka malam,0.5710815787315369
positif,0,5,mudah server ya bagus,0.7854034304618835
positif,1,4,update masuk langsung tutup aplikasi alas sistem hp minimal mohon baik desa spesifikasi mengah bawah sulit sesuai tipe hp,0.5935106873512268
positif,1,5,bagus buka aplikasi membal langsung,0.3398585319519043
positif,3,5,kadang buka kadang,0.539936363697052
positif,5,4,harap aplikasi pakai ganti ganti tpk bentuk sarana kimput ubah kader pusing aplikasi kembang baik ganti aplikasi,0.49737393856048584
positif,1,5,orang login disiga mobile aplagi tau mnggkn aplikasi,0.7852727770805359
positif,6,4,kali uninstall aplikasi download ulang mash masuk aplikasi,0.7852703332901001
positif,3,5,emailid tpk ya sandi salah gagal,0.41246122121810913
positif,2,5,tolong versi baru turun biar hp speak android bawah buka aplikasi siga,0.46748682856559753
positif,1,5,aplikasi bagus bantu sisi aplikasi sulit buka bbrap faakum mngerjakn tpkmohon sgra baik server keprlun mudah masuk aplikasi,0.6589584946632385
positif,4,5,instal ulang loading langsung hilang,0.7849520444869995
positif,6,4,update aplikasi buka pental solusi,0.4406999349594116
positif,1,4,aplikasi baru masuk mental gilir diinstal ulang logindnegan catat idsandi salah admin,0.7140664458274841
positif,6,5,aplikasi nya buka ggal unstal play store n angr buka,0.7140810489654541
positif,2,5,arahkn update aplikasi tekan okselalu gagal update ya,0.5355527400970459
positif,4,5,pas buka sistem indak masuk ya tolong min,0.8561233282089233
positif,1,5,upgrade versi baru buka mental mohon solusi min,0.41480475664138794
positif,0,5,wow aplikasi bagus rama lingkung,0.5713669657707214
positif,1,5,coba kasih bintang ful sispa tau buka,0.6034769415855408
positif,4,5,meng install ulang buka loading hilang meng input buka loading trsgmn selesai input verval loading mulumendingan aplikasi bikin pusing loading mulu,0.8135601282119751
positif,3,5,hp oppo buka aplikasi mohon baik tugas aplikasi,0.38263601064682007
positif,1,5,bagus aplikasi sulit masuk,0.5849193334579468
positif,1,4,mohon info aplikasi mental buka update versi baru,0.41471216082572937
positif,5,4,masuk aplikasi nya pental ya pental masuksaya kasih bintang biar baca,0.7139020562171936
positif,6,4,aplikasi siga mobile buka yabiasanya lancar kemarin buka salah mohon pencerahay,0.8283674120903015
positif,0,5,aplikasi bagus mudah deteksi kembang balita,0.7139591574668884
positif,2,5,apk dibukasetiap buka lansung membalmohon bantu,0.4236604869365692
positif,4,4,hadech update buka hapus download,0.8283420205116272
positif,4,4,keluh kader bahwasanyya suka henti pas buka apk ya suka versi android minimal,0.856598436832428
positif,3,5,info tpk update september macet aplikasi pental login mohon dicariin solusi min,0.784912645816803
positif,4,5,pas dibukaterus baliksama buka,0.7138059139251709
positif,2,4,aplikasi kali alami ganggu sistem verval eror,0.8279085159301758
positif,1,5,ajar isi aplikasi mobile,0.7140641212463379
positif,5,5,kader tim damping keluarga damping sasar baduta catin,0.7853848338127136
positif,2,5,capek bolak update mulu eror kerja numpak verval,0.8279855251312256
positif,6,5,buka aplikasi unistal instal lgitetap putar putar muat data,0.7141374945640564
positif,4,5,update baru buka maha ieu sok ath min enggal baik,0.7853583693504333
positif,0,5,wwwo o oioosoosowooooo ososwosksoww si oooomizssoo,0.1428571492433548
positif,0,5,permisi apknya kayak troble ya unduh sertifikat kakak gagal unduh loginnya unduh,0.7856490612030029
positif,5,4,sengaja log out akirnya susah log ingimana solusi mudah instal ulang restart hp samapadahal id password,0.38126128911972046
positif,2,5,bantu data warga wilayah,0.7139400243759155
positif,5,5,tolong benah biar mudah meng akses data,0.7139731645584106
positif,6,4,ya aplikasi install eh muter masuk,0.71372389793396
positif,3,4,aplikasi bantu banding versi kadang masalah proses kimput ganggu harap ya aplikasi gampang penginputan kendala,0.49197089672088623
positif,2,5,kali coba bisatiap masuk apk arah play store lagiapk eror,0.6119753122329712
positif,4,5,mudah kadang bug sistem ya suka nge blank kadang buka,0.5370544791221619
positif,0,5,ilmu sosial masyarakat,0.1428571492433548
positif,5,5,kader tpksiga mobile mudah catat lapor,0.785556435585022
positif,6,4,siga mobile buka ya dperbarui,0.7137012481689453
positif,1,4,baru mana pilih catin wni wna aplikasi wni nik wna kecuali kitas cuman jarang urus,0.5713012218475342
positif,4,5,wahalhamdulillahapk elsimil v moga mantap coba gampang digunakanjd dukung input datasemoga error unduh sertifikat ya ntitrims,0.38531509041786194
positif,5,5,mudah data faktor jaring dukung mudah offline,0.8570458889007568
positif,6,5,knapa sih susah banget buka ya baru baharu,0.7854572534561157
positif,2,4,update aplikasi input muncul minta buka menggangu,0.827840268611908
positif,0,5,ssayamau donlod aplikasi lansung nak tuju,0.1428571492433548
positif,6,5,aplikasi lot mot mot,0.5711013674736023
positif,5,5,bantu mudah lengkap syarat nikah,0.38070109486579895
positif,0,5,tampil bagus moga depan mudah input data,0.7855659127235413
positif,0,5,bagus aplikasi jadi satusemoga sukses selalusemoga baru eror,0.7139838933944702
positif,1,5,sambung isi catin hamil salin baduta jaring bagus,0.5712766051292419
positif,5,5,bagus banget data blita catin dll,0.33132699131965637
positif,1,5,sulit gagal tulis application exception mohon perhati elsimil verval krs kejar target lapang aplikasi siga mobile,0.6187333464622498
positif,0,5,bagus damping balita bumil catin cegah setangting,0.42888954281806946
positif,2,4,aplikasi data baik terkadang data masuk hilang,0.43578439950942993
positif,6,4,susah buka loading mulu ulang kali instal ulanh,0.8284965753555298
positif,2,4,tanggal lahir ketuk ulang efisien tanggal diketikmana pas simpan data suka lamakadang jaring error,0.522992730140686
positif,0,5,terirma kasih bantu layan online,0.4022442102432251
positif,2,4,update eror bolak playstore,0.828374445438385
positif,6,5,kerja susah selesainyakarena apk lemotsering erorjaringan baguspas nyimpan data lamamuter terusbagai cepat selesai tersimpantapi pas buka data hilang data ulang,0.5095173716545105
positif,4,5,buka lari playstore,0.7136528491973877
positif,2,5,please sengsara kader data apk fix lapang kasihan kader data,0.828357994556427
positif,1,4,upgrade masukpadahal id sandi betulkalo masuk kerja,0.5706548690795898
positif,1,5,tolong server sahabat biar cepat kelar kerja,0.5707722306251526
positif,4,5,buka playstore unduh,0.7850143313407898
positif,0,4,bagus tingkat kualitas,0.7140781879425049
positif,6,5,lalot jaring bagussdh brpakali coba tida ta buka aplikasi,0.7140210866928101
positif,4,5,updatetp buka aplikasi suruh update buka,0.7853702902793884
positif,6,5,buka susah aplikasi siga,0.7854511141777039
positif,5,4,data verval elsimilnya akses bingung,0.713954746723175
positif,0,4,muncul notif barua menganggu,0.1428571492433548
positif,2,4,aplikasi verval tolong tingkat lancar ya biar bolak play store,0.8567193150520325
positif,4,5,kerja cepat aplikasih lot,0.7138743996620178
positif,2,5,tolong lancar garap data,0.7135143280029297
positif,2,5,update habis perintah nya update bosan,0.7140840291976929
positif,4,4,maaf iya kasih bintang coba versi baru,0.571401834487915
positif,6,4,kadangkala lot susah hasil,0.7141966223716736
positif,6,4,lancar muter servernya,0.7141523361206055
positif,6,5,lot lot tugas selesai nih,0.49494487047195435
positif,5,5,saangat mudah ddalam data,0.7139555811882019
positif,6,4,buka muter terusapakah proses baik,0.7141468524932861
positif,2,5,data transparan real akurat,0.5706120133399963
positif,0,5,update taoi sekalu gagal,0.3808896243572235
positif,4,5,alhamdulillah jalan lancar moga kembang,0.714258074760437
positif,0,5,aplikasi bagus integrasi elsimil usul laksana indonesia mohon wikayah laksana biar eror rebut server terimakasih,0.877276599407196
positif,1,5,tulis lahir ribet scrol cari,0.571373701095581
positif,4,4,buka update rena tipe hp aplikasi masalah,0.7853456139564514
positif,6,5,loading satu nih muter,0.7138671278953552
positif,6,4,susah buka playstore,0.5245141983032227
positif,2,5,maaf aplikasi siga mobilegak tolong info,0.5710552334785461
positif,5,4,aplikasi data mudah cuman,0.7139644622802734
positif,2,5,aplikasi bantu muncul update,0.7855846881866455
positif,4,5,moga maju aplikasi biar mudah pasu data,0.3819943368434906
positif,2,4,update koh ngentry bolak play store bikin esmosi,0.7141733169555664
positif,3,4,suka ganggu entri,0.7140178084373474
positif,2,4,moga bisah bantu penginputan mohon bantu eror susah penginputan terimakasihh,0.513049304485321
positif,5,5,data verval amantetapi masuk data elsimil rumit,0.8565869331359863
positif,2,4,bantu data error buka,0.8278623223304749
positif,2,4,tanda diverval kakak kurang hapus anak ning simpan ket canot ready propertyjoin of null,0.39721837639808655
positif,3,4,maaf butuh draft simpan ulang ulang data masuk gagal server sinyal buruk,0.6661182641983032
positif,5,4,data mudah data offline lelet aplikasi,0.7139666080474854
positif,6,4,susah downd load,0.5714263319969177
