rating,sentimen,topic,topic_label,topic_conf,review_text
5,positif,3,Kelancaran Proses & Penyimpanan Data,0.6249988187526485,bgus
5,positif,1,Pengalaman Campuran Pasca Pembaruan,0.8076191976944541,aplikasi tidak bisa di buka
4,positif,0,Penggunaan Dasar Aplikasi (Cukup Berfungsi),0.6508734520876821,kenapa aplikasi nya GK bisa di buka padahal udah daftar mohon bantuannya 🙏🏻
5,positif,2,Manfaat Aplikasi untuk Dukungan Kader & Pendataan,0.6249956262193624,sangat membantu
5,positif,3,Kelancaran Proses & Penyimpanan Data,0.6249988187526485,bagus
5,positif,3,Kelancaran Proses & Penyimpanan Data,0.6249988187526485,bagus
5,positif,1,Pengalaman Campuran Pasca Pembaruan,0.6249965978635259,GK mau dibuka
5,positif,0,Penggunaan Dasar Aplikasi (Cukup Berfungsi),0.6249821009990936,oke
5,positif,1,Pengalaman Campuran Pasca Pembaruan,0.8463598476126637,aplikasi tidak bisa di buka selalu mental terus
5,positif,0,Penggunaan Dasar Aplikasi (Cukup Berfungsi),0.5938069780914664,ko kalo mau masuk ke aplikasi mental yaa tolong di bantu biar mempermudah
5,positif,3,Kelancaran Proses & Penyimpanan Data,0.6249988187526485,bagus
5,positif,0,Penggunaan Dasar Aplikasi (Cukup Berfungsi),0.5159504048146966,"aplikasinya tidak bisa di buka tolong di perbaiki, bagaimana bisa kerja kalok gini trus."
5,positif,0,Penggunaan Dasar Aplikasi (Cukup Berfungsi),0.624975677543047,normal kembali dong jangan mempersulit kmi bekerja🙏🙏
5,positif,0,Penggunaan Dasar Aplikasi (Cukup Berfungsi),0.8483843448672145,ini gimana mau kerja mau masuk aplikasinya gagalyerus
5,positif,0,Penggunaan Dasar Aplikasi (Cukup Berfungsi),0.25,tidak bisa buka.aplikasi
5,positif,0,Penggunaan Dasar Aplikasi (Cukup Berfungsi),0.8464340940454839,knp GK bs masuk y selalu terkendala klu Uda kluar
5,positif,0,Penggunaan Dasar Aplikasi (Cukup Berfungsi),0.6249940268907236,ok
5,positif,3,Kelancaran Proses & Penyimpanan Data,0.6249980353540511,Baik
5,positif,0,Penggunaan Dasar Aplikasi (Cukup Berfungsi),0.7245160656003856,"Min kenapa yh aplikasi siga mobile saya malah masuk keluar trs sama login g biasa gagal pada jaringan ini trs katanya,solusinya min"
5,positif,1,Pengalaman Campuran Pasca Pembaruan,0.8076191976944541,Aplikasi tidak bisa di buka
5,positif,2,Manfaat Aplikasi untuk Dukungan Kader & Pendataan,0.6249898370093896,mantap
5,positif,3,Kelancaran Proses & Penyimpanan Data,0.6249988187526485,bagus
5,positif,1,Pengalaman Campuran Pasca Pembaruan,0.7383112315207099,aplikasi Tidka bisa di bukak
5,positif,1,Pengalaman Campuran Pasca Pembaruan,0.8076191976944541,aplikasi ini tidak bisa dibuka...
5,positif,3,Kelancaran Proses & Penyimpanan Data,0.6249988187526485,bagus
