topic,dom_prob,overlap_topwords,text,rating
0,0.8772823810577393,3,aplikasi bagus integrasi elsimil usul laksana indonesia mohon wikayah laksana biar eror rebut server terimakasih,5.0
0,0.8568512201309204,2,terkadang simpan data kadang bagus kadang eror,5.0
0,0.828481912612915,4,bagus layan mudah erti,5.0
0,0.8284111618995667,2,gagal ulang ulang gagal captoin,5.0
0,0.8282335996627808,2,tingkat layan nyajgn bolak error,5.0
1,0.8923835754394531,2,min ya aplikasi siga mobile masuk login gagal jaring katanyasolusinya min,5.0
1,0.877069890499115,2,teman mental aplikasi coba unduh website ya siga bkkbn go id ya teman scroll cari tulis siga mobile download aplikasi situ install tutorial ya youtube,5.0
1,0.8570099472999573,2,tolong maksimal sasar keluarga tampil langsung kasih bintang langsung notif,5.0
1,0.856853187084198,2,isi data catin pas download sertifikat catin ya mulu ya tolong bantu,5.0
1,0.7856051921844482,2,tambah keluarga masuk sesuai kakak hasil anak individu anggota ya,5.0
2,0.8570163249969482,3,bantu data kader tpk perbaruikadang ngisi eee baru kerja kader terkendalamakin tingkat,5.0
2,0.8567792177200317,2,siga suka ganggu pengaruh lambat menginpuut data mohon tingkat ya kualitas,4.0
2,0.856386125087738,3,ya kak buka apk tanggal juni suruh baru playstore ya tulis update ya,4.0
2,0.8283897638320923,3,nyimpan data error alhasil data input hilang mohon baik,4.0
2,0.8283723592758179,2,daftar bisaselalu ararin playstore suruh uodatetapi playstore update an,5.0
3,0.8772305846214294,5,bantu sekalitpi muter aplikasinyasaat masuk datajadi nunggunya lmyan lamaadan kadang gbisa masuk data,5.0
3,0.8772204518318176,2,login muter bolak suruh playstore beres ngedata verval tolong baik,4.0
3,0.832409143447876,4,aplikasi bagus kadang data verval masuk aplikasi mohon kebih gampang tpk terimakasih,5.0
3,0.785632312297821,2,suka dukadlm jalan tugas,5.0
3,0.7855327725410461,2,tugas damping tpk,5.0
4,0.9141388535499573,2,update update tombol update buka notif update playstore tombol update uninstall buka buka halaman muter muter muyer kali pasang hapus pasang hapus sabar tip,4.0
4,0.8569722771644592,4,aplikasi pakai sayang sistem update buka loading tolong servernya baik min,4.0
4,0.8566228747367859,2,keluh kader bahwasanyya suka henti pas buka apk ya suka versi android minimal,4.0
4,0.8283461928367615,3,hadech update buka hapus download,4.0
4,0.8135817646980286,2,meng install ulang buka loading hilang meng input buka loading trsgmn selesai input verval loading mulumendingan aplikasi bikin pusing loading mulu,5.0
5,0.9139866232872009,2,catin lancar jaya good job modul bumil server verval status provinsi aktif versi sasar muncul sesuai wilayah coba link verval save,5.0
5,0.8770269751548767,2,tolong baik pas simpan gagal pas aplikasi masuk masuk lagialasannya aplikasi jaring kartu ganti,5.0
5,0.8570459485054016,3,mudah data faktor jaring dukung mudah offline,5.0
5,0.8566062450408936,3,data verval amantetapi masuk data elsimil rumit,5.0
5,0.828461766242981,3,sempurna arah playstore pas simpan data err semangat kerja aplikasi ya saran betul kerja ya mudah semangat,4.0
6,0.8284964561462402,3,susah buka loading mulu ulang kali instal ulanh,4.0
6,0.8283647298812866,3,guna ya ulang baru ya klik pas buka baru hadeh bikin lot kerja,4.0
6,0.8283641338348389,2,aplikasi siga mobile buka yabiasanya lancar kemarin buka salah mohon pencerahay,4.0
6,0.8282291293144226,4,susah update gilir uninstall buka muter,5.0
6,0.8281226754188538,4,ikut arah update susah masuk,4.0
