rating,review_text,steming_data
1,"Aplikasi TERLALU BUSUK, Muter"", cm ngisi fo form doang, masa form domisili gak bs di isi, aneh sekali, buang"" waktu. pake Aplikasi bukan tambah mudah malah tambah Rumit, dahlah 3.1 rate sudah menjelaskan jeleknya aplikasi ini.",aplikasi busuk muter ngisi fo form doang form domisili isi aneh buang pakai aplikasi mudah rumit dah rate jelek aplikasi
1,aplikasi apaan buang2 anggaran doang ga efektif,aplikasi buang anggar doang efektif
1,kenapa apk ini tidak bisa dibuka?,apk buka
1,tidak bisa terbuka aplikasinya,buka aplikasi
1,susah mau masuk aplikasi mental terus,susah masuk aplikasi mental
1,aplikasi tidak bisa ke buka di vivo1901,aplikasi buka vivo
1,mental di buka,mental buka
1,aplikasi tak bisa d buka,aplikasi buka
1,"aplikasi buruk, tidak bisa digunakan karena tertutup saat dibuka",aplikasi buruk tutup buka
1,menyg,menyg
2,"Aplksi jelek sekali, sering keluar sendiri dn hrus instal ulang terus Ini bgmna mohon solusinya",aplksi jelek instal ulang mohon solusi
1,ngga bisa di buka woy,buka woy
1,apknya gakbisa dibuka sama sekali cuman bisa daftar aja habis itu ya sudah tidak bisa di apa-apakan lagi. sangat bermanfaat sekali pokoknya,apknya gakbisa buka cuman daftar habis ya apaapakan manfaat pokok
1,tidak bisa masuk aplikasi,masuk aplikasi
1,nge bug bamget.. d hape vivo v19 . macet aplikasi nya. tolong d perbaiki..,nge bug bamget hape vivo v macet aplikasi ya tolong baik
2,saya gak bisa masuk .buka langsung macet. solusinya gimana .yuser em dikasih bkkbn TPI aplikasi ini gak bisa,masuk buka langsung macet solusi yuser em kasih bkkbn aplikasi
1,"pusing bgtt, masa gbisa login... haduh",pusing banget gbisa login aduh
1,berkali kali diinstal hapus instal lagi tetep ga bisa kebuka. tolong dipermudah biar TPK bisa melakukan tugasnya dengan lancar. Jangan terkendala aplikasi yang tidak support di hp. Karena tidak semua orang hpnya baru dan bagus.,kali kali diinstal hapus instal buka tolong mudah biar tpk tugas lancar kendala aplikasi support hp orang hpnya bagus
1,aplikasi sama sekali gak bisa dibuka. dikit dikit harus pake aplikasi tapi aplikasinya jelek luar biasa,aplikasi buka dikit dikit pakai aplikasi aplikasi jelek
1,ngebug banget.....,ngebug banget
1,sering forclose,forclose
1,kalo butuh vendor pembuat aplikasi yg jauh lebih canggih monggo langsung email saya saja.. daripada aplikasi ga guna gini..,butuh vendor buat aplikasi canggih monggo langsung email aplikasi
1,tidak bisa dibuka,buka
1,"aplikasi tol, sudah berkali kali mencoba masuk tapi keluar keluar terus, sekalinya bisa masuk, pas buat akun malah di tahap biodata di bagian nama dan tglkahir tidak bisa di pencet.",aplikasi tol kali kali coba masuk sekali masuk pas akun tahap biodata nama tglkahir pencet
1,"Tolong diperbaiki yaaa, kenapa tiap masuk langsung tiba-tiba keluar dari aplikasi. Dicoba berulang kali tetap begitu. Mohon diperbaiki, terimakasih🙏🏻",tolong baik ya masuk langsung tibatiba aplikasi coba ulang kali mohon baik terimakasih
1,"setiap masuk aplikasi keluar sendiri,mau unduh sertifikat elsimil gak bisa , mempersulit hidup aja aplikasi nya🥲",masuk aplikasi sendirimau unduh sertifikat elsimil sulit hidup aplikasi ya
