rating,review_text,steming_data,has_complaint_term
5,aplikasi tidak bisa di buka,aplikasi buka,True
4,kenapa aplikasi nya GK bisa di buka padahal udah daftar mohon bantuannya 🙏🏻,aplikasi ya buka daftar mohon bantu,True
5,GK mau dibuka,buka,True
5,aplikasi tidak bisa di buka selalu mental terus,aplikasi buka mental,True
5,ko kalo mau masuk ke aplikasi mental yaa tolong di bantu biar mempermudah,masuk aplikasi mental ya tolong bantu biar mudah,True
5,"aplikasinya tidak bisa di buka tolong di perbaiki, bagaimana bisa kerja kalok gini trus.",aplikasi buka tolong baik kerja,True
5,normal kembali dong jangan mempersulit kmi bekerja🙏🙏,normal sulit,True
5,ini gimana mau kerja mau masuk aplikasinya gagalyerus,kerja masuk aplikasi gagalyerus,True
5,knp GK bs masuk y selalu terkendala klu Uda kluar,masuk ya kendala,True
5,"Min kenapa yh aplikasi siga mobile saya malah masuk keluar trs sama login g biasa gagal pada jaringan ini trs katanya,solusinya min",min ya aplikasi siga mobile masuk login gagal jaring katanyasolusinya min,True
5,Aplikasi tidak bisa di buka,aplikasi buka,True
5,aplikasi Tidka bisa di bukak,aplikasi tidka buka,True
5,aplikasi ini tidak bisa dibuka...,aplikasi buka,True
5,"untuk temen² yang masih mental aplikasinya bisa coba unduh di website nya siga bkkbn go id ya temen² nanti scroll ke bawah cari tulisan siga mobile download aplikasinya disitu nanti install seperti biasa, banyak kok tutorial nya di youtube",teman mental aplikasi coba unduh website ya siga bkkbn go id ya teman scroll cari tulis siga mobile download aplikasi situ install tutorial ya youtube,True
4,"siga mobile update terbaru gagal masuk,jadi gak bisa buka aplikasi nya,mohon di perbaiki secepatnya",siga mobile update baru gagal masukjadi buka aplikasi nyamohon baik cepat,True
5,kenapa aplikasi sering tidak bisa masuk,aplikasi masuk,True
4,aplikasi macet,aplikasi macet,True
5,tolong diperbaiki aplikasinya biasanya tidak bisa di buka login,tolong baik aplikasi buka login,True
5,knp TDK bisa buka🙏,buka,True
4,setiap di klik email selalu gagal,klik email gagal,True
4,susah login,susah login,True
5,error terus,error,True
5,msh blom bisa tuk buka aplikasi nya,buka aplikasi ya,True
4,"tolong perbaiki aplikasinya dlu,alx kalo buka apk tiba² langsunv kembli dan di buka ulang²jga tetap sama,mohon bantuannya karena smentara lagi verval,terimkasih",tolong baik aplikasi dlualx buka apk langsunv kembli buka ulangjga samamohon bantu vervalterimkasih,True
4,tidak bisa masuk ke aplikasi tlg perbaiki mau masuk tidak bisa tetap kembali.,masuk aplikasi tolong baik masuk,True
5,mohon dong aplikasi nya tidak bisa buat ngedata verval mental aja mohon kerjasamanya sedangkan waktu pendataan pendampingan mau selesai tapi aplikasi nya tidak bisa di buka,mohon aplikasi ya ngedata verval mental mohon kerjasamanya data damping selesai aplikasi ya buka,True
5,kenapa nggak bisa kembali login . banyak data yg perlu saya entri .mohon di bantu dan minta solusinya dong 🙏,login data entri mohon bantu solusi,True
4,Sulit diakses,sulit akses,True
5,"sip.... kereeeen sekarang mah eror melulu jadi makan gaji buta terus eeeeuuungg,... pertahankan supaya para kader ga kerja dan menjadi BODOH, terimaksih",sip keren mah eror melulu makan gaji buta eeeeuuungg tahan kader kerja bodoh,True
5,"ayoo perbaiki, jangan menyiksa kader dengan error dan bug GJ",ayo baik siksa kader error bug gj,True
5,kenapa saat di tekan aplikasi siga mobile selalu terpental dan ngk bisa masuk,tekan aplikasi siga mobile pental masuk,True
5,aplikasi tidak bisa buka,aplikasi buka,True
5,kenapa aplikasinya susah dipakai,aplikasi susah pakai,True
5,tidak bisa dibuka,buka,True
5,gk bisa di buka,buka,True
5,di coba lagi setelah beberapa kali apl tidak bisa di buka,coba kali apl buka,True
5,tidak bisa buka siga mobile di hp ini dan mohon di buka,buka siga mobile hp mohon buka,True
5,kok susah masuknya ya,susah masuk ya,True
4,aplikasi susah di buka beberapa kali ganti versi,aplikasi susah buka kali ganti versi,True
5,gmn caraya membuka siga verval?,caraya buka siga verval,True
